,District Name,District Code,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),no in Cohort_male,% Graduated_male,# in Cohort_female,% Graduated_female,# in Cohort_disadvantaged,% Graduated_disadvantaged,# in Cohort_white,% Graduated_white,# in Cohort_asian,% Graduated_asian,# in Cohort_hispanic,% Graduated_hispanic,# in Cohort_black,% Graduated_black,High School Graduates (#)_male,Attending Coll./Univ. (%)_male,High School Graduates (#)_female,Attending Coll./Univ. (%)_female,High School Graduates (#)_disadvantaged,Attending Coll./Univ. (%)_disadvantaged,High School Graduates (#)_white,Attending Coll./Univ. (%)_white,High School Graduates (#)_asian,Attending Coll./Univ. (%)_asian,High School Graduates (#)_hispanic,Attending Coll./Univ. (%)_hispanic,High School Graduates (#)_black,Attending Coll./Univ. (%)_black,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,Salary Totals,Average Salary,FTE Count
177,Needham,1990000,       418,97.1,2.4,0.0,0.2,0.0,0.2,411,372.0,90.5,0.0,59.1,4.0,36.8,3.8,1.6,13.4,       202,95.0,       216,99.1,        49,95.9,       347,97.4,        31,96.8,        17,94.1,        11,100.0,195.0,90.3,216,90.7,26,92.3,341.0,92.1,30.0,86.7,18.0,77.8,11.0,,"   2,213",18.9,"      5,609",50.7,49.3,2.2,15.6,5.1,"     $34,871,958","  $89,622",    389
178,New Bedford,2010000,       622,60.1,13.2,8.2,1.4,17.0,0.0,387,227.0,58.7,1.3,20.7,49.3,28.6,47.6,10.1,14.1,       367,55.3,       255,67.1,       501,55.9,       280,67.5,,,       201,48.3,        85,60.0,211.0,49.8,176,69.3,215,49.8,192.0,64.1,2.0,,104.0,52.9,53.0,49.1,"   5,384",18.7,"     12,929",46.9,53.1,26.0,20.7,60.7,"     $64,991,047","  $77,380",    840
179,New Liberty Charter School of Salem (District),4670000,        26,11.5,0.0,0.0,11.5,76.9,0.0,7,,,,,,,,,,        11,0.0,        15,20.0,        18,11.1,         9,22.2,,,        13,7.7,,,,,7,,3,,4.0,,,,3.0,,,,       7,11.0,         73,63.0,37.0,17.8,38.4,56.2,,,
180,Newburyport,2040000,       181,95.6,3.3,0.0,0.6,0.6,0.0,173,146.0,84.4,0.0,35.6,19.2,45.2,17.8,4.8,17.8,        84,94.0,        97,96.9,        33,84.8,       163,96.9,         7,85.7,,,,,79.0,81.0,94,87.2,26,57.7,158.0,84.2,6.0,,3.0,,1.0,,"   1,240",17.8,"      2,334",50.2,49.8,1.4,14.0,8.7,"     $14,518,278","  $77,930",    186
181,Newton,2070000,       962,97.3,2.4,0.1,0.0,0.1,0.1,962,831.0,86.4,0.0,58.8,7.0,34.2,6.1,3.4,13.4,       497,96.6,       465,98.1,       169,95.3,       665,97.9,       133,97.7,        72,94.4,        48,95.8,495.0,84.4,467,88.4,119,82.4,666.0,88.1,135.0,88.1,71.0,77.5,48.0,70.8,"   5,870",18.0,"     12,901",49.0,51.0,6.3,20.3,8.9,"     $85,263,597","  $78,209","  1,090"
182,Norfolk County Agricultural,9150000,       112,100.0,0.0,0.0,0.0,0.0,0.0,113,94.0,83.2,0.0,24.5,14.9,60.6,13.8,14.9,18.1,        37,100.0,        75,100.0,        21,100.0,       109,100.0,,,,,,,38.0,76.3,75,86.7,14,,110.0,82.7,1.0,,,,1.0,,     444,16.5,        522,69.7,30.3,0.0,17.4,11.7,"      $3,503,516","  $67,117",     52
183,North Adams,2090000,       121,81.0,9.1,0.8,0.8,8.3,0.0,91,61.0,67.0,4.9,31.1,21.3,42.6,16.4,32.8,6.6,        55,72.7,        66,87.9,        80,73.8,        92,78.3,,,         9,77.8,,,38.0,57.9,53,73.6,46,47.8,64.0,67.2,,,7.0,,6.0,,     666,14.7,"      1,483",49.9,50.1,0.9,25.5,53.8,"      $7,061,497","  $56,267",    126
184,North Andover,2110000,       341,94.4,3.2,1.2,0.3,0.9,0.0,326,294.0,90.2,0.0,42.2,17.7,40.1,17.3,5.4,18.7,       172,95.9,       169,92.9,        75,85.3,       284,96.1,        24,91.7,        23,87.0,         6,66.7,167.0,90.4,159,89.9,46,84.8,276.0,90.2,22.0,86.4,20.0,90.0,5.0,,"   2,505",21.4,"      4,753",49.1,50.9,1.6,14.5,11.8,"     $23,634,774","  $80,009",    295
185,North Attleborough,2120000,       300,94.0,3.0,0.3,0.0,2.7,0.0,292,255.0,87.3,0.4,31.0,14.9,53.7,12.5,20.0,12.2,       144,94.4,       156,93.6,        78,85.9,       265,95.1,        15,100.0,         7,71.4,,,142.0,83.1,150,91.3,45,77.8,261.0,87.4,15.0,93.3,6.0,,4.0,,"   1,578",18.5,"      4,480",49.7,50.3,3.1,14.5,13.8,"     $20,985,334","  $74,761",    281
186,North Brookfield,2150000,        39,92.3,5.1,0.0,0.0,2.6,0.0,38,19.0,50.0,0.0,31.6,31.6,36.8,31.6,21.1,10.5,        19,89.5,        20,95.0,        17,82.4,        36,94.4,,,,,,,20.0,30.0,18,72.2,12,,36.0,52.8,,,2.0,,,,     196,15.6,        561,48.3,51.7,0.0,15.2,31.0,"      $2,702,264","  $62,990",     43
187,North Middlesex,7350000,       250,92.8,4.0,1.2,0.4,1.6,0.0,233,198.0,85.0,0.0,27.8,24.2,48.0,21.7,18.7,22.2,       111,90.1,       139,95.0,        66,84.8,       238,93.3,,,,,,,101.0,77.2,132,90.9,46,71.7,223.0,85.7,3.0,,4.0,,1.0,,"   1,591",19.3,"      3,210",49.3,50.7,0.8,19.7,17.4,"     $16,400,012","  $65,809",    249
188,North Reading,2170000,       200,93.0,4.0,0.0,0.5,2.5,0.0,188,168.0,89.4,0.0,47.6,10.1,42.3,9.5,8.9,15.5,       108,90.7,        92,95.7,        23,82.6,       190,93.2,,,,,,,98.0,86.7,90,92.2,17,82.4,179.0,89.4,4.0,,1.0,,,,"   1,277",18.9,"      2,552",49.4,50.6,0.6,17.7,6.9,"     $14,788,134","  $75,143",    197
189,Northampton,2100000,       237,92.4,1.7,1.7,1.7,2.5,0.0,226,194.0,85.8,0.0,50.5,27.3,22.2,26.8,10.8,6.7,       135,91.1,       102,94.1,        82,87.8,       186,95.2,,,        30,73.3,         8,100.0,129.0,81.4,97,91.8,52,78.8,181.0,87.3,6.0,,23.0,65.2,9.0,,"   1,271",15.6,"      2,673",50.0,50.0,5.4,20.8,23.6,"     $13,462,103","  $61,387",    219
190,Northampton-Smith Vocational Agricultural,4060000,       105,93.3,1.9,3.8,1.0,0.0,0.0,100,30.0,30.0,0.0,16.7,76.7,6.7,76.7,6.7,0.0,        60,95.0,        45,91.1,        64,93.8,        82,97.6,,,        15,80.0,,,57.0,19.3,43,44.2,47,34.0,81.0,24.7,,,12.0,,2.0,,     298,13.0,        461,39.0,61.0,3.3,37.1,29.9,"      $3,166,123","  $60,654",     52
191,Northboro-Southboro,7300000,       376,95.7,1.6,0.0,0.0,2.7,0.0,360,331.0,91.9,0.0,49.5,3.9,46.5,3.6,11.5,10.9,       180,95.6,       196,95.9,        51,84.3,       319,95.9,        31,96.8,        12,100.0,,,172.0,90.1,188,93.6,32,78.1,306.0,93.1,30.0,83.3,12.0,,4.0,,     763,16.4,"      1,456",53.3,46.7,1.4,9.8,5.8,"      $9,482,556","  $87,558",    108
192,Northbridge,2140000,       148,91.2,2.0,0.0,0.7,6.1,0.0,141,101.0,71.6,0.0,34.7,26.7,38.6,26.7,24.8,7.9,        78,89.7,        70,92.9,        52,80.8,       133,93.2,,,         8,87.5,,,76.0,64.5,65,80.0,31,54.8,128.0,72.7,,,7.0,,,,"   1,008",18.3,"      2,398",48.1,51.9,2.0,16.6,25.8,"     $11,281,650","  $69,511",    162
193,Northeast Metropolitan Regional Vocational Technical,8530000,       294,96.6,2.4,0.0,0.0,1.0,0.0,287,144.0,50.2,0.0,21.5,49.3,29.2,46.5,16.0,9.7,       142,96.5,       152,96.7,       174,97.1,       185,95.1,,,        90,98.9,        11,100.0,140.0,37.1,147,62.6,119,50.4,179.0,49.7,4.0,,89.0,47.2,11.0,,     902,19.4,"      1,257",46.9,53.1,1.8,22.4,29.8,"      $9,359,306","  $85,551",    109
194,Northern Berkshire Regional Vocational Technical,8510000,       122,96.7,1.6,0.0,0.8,0.8,0.0,119,65.0,54.6,1.5,27.7,32.3,38.5,29.2,29.2,4.6,        75,94.7,        47,100.0,        55,100.0,       118,97.5,,,,,,,72.0,43.1,47,72.3,42,45.2,116.0,54.3,,,1.0,,,,     346,12.6,        477,37.9,62.1,0.0,14.5,26.0,"      $4,029,772","  $73,536",     55
195,Norton,2180000,       191,93.7,3.7,0.0,0.0,2.6,0.0,184,139.0,75.5,0.0,43.9,21.6,34.5,20.9,17.3,7.2,       102,93.1,        89,94.4,        49,87.8,       183,93.4,,,,,,,99.0,75.8,85,75.3,29,62.1,176.0,76.1,5.0,,1.0,,1.0,,"   1,169",19.0,"      2,553",49.1,50.9,0.9,18.0,15.5,"     $13,243,568","  $70,276",    188
196,Norwell,2190000,       165,97.6,1.8,0.0,0.0,0.6,0.0,162,152.0,93.8,0.0,48.0,5.3,46.7,4.6,5.3,18.4,        80,95.0,        85,100.0,        16,93.8,       156,98.1,,,,,,,77.0,92.2,85,95.3,12,,154.0,93.5,4.0,,2.0,,1.0,,     984,18.1,"      2,222",49.3,50.7,0.1,14.0,3.8,"     $13,344,825","  $81,321",    164
197,Norwood,2200000,       276,93.1,2.9,0.0,0.4,3.6,0.0,269,214.0,79.6,0.0,41.6,13.6,44.9,12.6,15.9,19.2,       152,92.1,       124,94.4,       112,87.5,       206,94.2,        16,100.0,        15,73.3,        35,94.3,148.0,76.4,121,83.5,79,70.9,201.0,80.6,16.0,87.5,13.0,,36.0,69.4,"   1,318",17.6,"      3,467",48.5,51.5,6.0,19.0,22.1,"     $20,847,214","  $77,355",    270
198,Old Colony Regional Vocational Technical,8550000,       141,97.2,0.7,0.7,0.0,1.4,0.0,138,87.0,63.0,0.0,19.5,50.6,29.9,48.3,10.3,16.1,        70,97.1,        71,97.2,        46,95.7,       137,97.1,,,,,,,69.0,62.3,69,63.8,32,43.8,134.0,64.2,,,1.0,,1.0,,     375,14.0,        550,42.7,57.3,0.0,23.3,15.6,"      $4,014,690","  $73,935",     54
199,Old Rochester,7400000,       191,94.8,2.6,0.5,0.0,2.1,0.0,182,158.0,86.8,0.0,31.6,19.0,49.4,17.1,13.9,19.0,        77,92.2,       114,96.5,        43,86.0,       179,95.0,,,,,,,74.0,82.4,108,89.8,28,78.6,170.0,87.1,,,,,3.0,,     649,17.9,"      1,229",51.7,48.3,0.2,12.7,9.4,"      $7,282,444","  $82,102",     89
200,Oxford,2260000,       125,88.8,4.8,3.2,0.8,2.4,0.0,114,73.0,64.0,0.0,37.0,35.6,27.4,34.2,16.4,5.5,        79,87.3,        46,91.3,        49,77.6,       116,90.5,,,         8,62.5,,,70.0,57.1,44,75.0,30,53.3,107.0,63.6,,,6.0,,1.0,,     713,18.5,"      1,841",48.1,51.9,0.3,14.8,31.8,"      $8,419,275","  $65,114",    129
201,Palmer,2270000,       113,84.1,7.1,0.0,0.9,8.0,0.0,98,78.0,79.6,0.0,26.9,38.5,34.6,35.9,14.1,14.1,        59,78.0,        54,90.7,        49,75.5,       100,85.0,,,,,,,47.0,76.6,51,82.4,31,80.6,87.0,81.6,3.0,,4.0,,1.0,,     715,14.8,"      1,473",46.7,53.3,1.5,18.5,35.6,"      $7,748,372","  $64,036",    121
202,Pathfinder Regional Vocational Technical,8600000,       147,90.5,4.1,2.0,0.7,2.7,0.0,141,42.0,29.8,0.0,28.6,59.5,11.9,59.5,4.8,2.4,        88,87.5,        59,94.9,        65,87.7,       140,90.7,,,,,,,81.0,21.0,60,41.7,47,25.5,135.0,30.4,,,4.0,,,,     511,11.4,        624,39.9,60.1,0.0,27.2,34.9,"      $5,384,049","  $75,301",     72
203,Paulo Freire Social Justice Charter School (District),35010000,        58,77.6,22.4,0.0,0.0,0.0,0.0,49,39.0,79.6,0.0,17.9,69.2,12.8,69.2,7.7,2.6,        27,74.1,        31,80.6,        47,76.6,,,,,        51,80.4,,,20.0,85.0,29,75.9,34,73.5,3.0,,,,45.0,77.8,1.0,,     185,14.9,        312,56.4,43.6,11.9,18.3,65.1,,,
204,Peabody,2290000,       448,86.6,7.6,0.2,0.9,4.7,0.0,399,302.0,75.7,0.0,31.5,26.2,42.4,24.8,23.5,7.6,       227,81.1,       221,92.3,       193,78.2,       359,89.7,,,        65,67.7,        13,92.3,191.0,70.2,208,80.8,114,66.7,328.0,75.9,4.0,,49.0,67.3,12.0,,"   2,657",18.3,"      5,962",49.1,50.9,6.4,18.3,28.2,"     $35,285,651","  $78,605",    449
205,Pembroke,2310000,       238,95.4,0.8,0.0,0.0,3.8,0.0,228,185.0,81.1,0.0,36.8,19.5,43.8,19.5,14.1,20.5,       115,96.5,       123,94.3,        61,91.8,       232,95.3,,,,,,,111.0,74.8,117,87.2,37,70.3,222.0,82.0,,,3.0,,3.0,,"   1,281",19.2,"      3,134",48.2,51.8,0.8,13.0,11.8,"     $15,351,348","  $77,259",    199
206,Pentucket,7450000,       189,90.5,3.7,0.0,2.6,3.2,0.0,173,156.0,90.2,0.0,34.0,23.7,42.3,23.1,10.3,13.5,        91,86.8,        98,93.9,        31,58.1,       177,91.5,,,,,,,81.0,85.2,92,94.6,11,,164.0,90.2,5.0,,1.0,,,,"   1,014",16.8,"      2,550",48.4,51.6,0.2,18.6,10.0,"     $15,352,513","  $73,003",    210
207,Phoenix Academy Public Charter High School Springfield (District),35080000,        55,9.1,38.2,0.0,1.8,50.9,0.0,10,,,,,,,,,,        29,3.4,        26,15.4,        49,10.2,,,,,        32,9.4,        18,5.6,2.0,,8,,10,,3.0,,,,6.0,,1.0,,      60,20.3,        179,50.3,49.7,8.9,21.8,74.9,,,
208,Phoenix Charter Academy (District),4930000,        80,21.3,12.5,0.0,5.0,61.3,0.0,21,10.0,47.6,0.0,20.0,70.0,10.0,70.0,0.0,10.0,        49,24.5,        31,16.1,        59,25.4,         6,16.7,,,        63,20.6,        10,30.0,14.0,,7,,6,,1.0,,1.0,,15.0,46.7,4.0,,      93,12.1,        176,42.0,58.0,47.2,16.5,37.5,,,
209,Pioneer Charter School of Science (District),4940000,        55,96.4,1.8,0.0,0.0,1.8,0.0,54,54.0,100.0,0.0,38.9,7.4,53.7,7.4,9.3,42.6,        27,92.6,        28,100.0,        35,100.0,        17,94.1,,,        17,100.0,        18,100.0,25.0,100.0,29,100.0,19,100.0,16.0,100.0,1.0,,18.0,100.0,18.0,100.0,     171,18.2,        356,49.2,50.8,16.9,8.7,32.3,,,
210,Pioneer Valley,7500000,        62,96.8,0.0,0.0,0.0,3.2,0.0,61,48.0,78.7,0.0,22.9,41.7,35.4,37.5,4.2,8.3,        29,96.6,        33,97.0,        17,88.2,        58,96.6,,,,,,,29.0,69.0,32,87.5,9,,57.0,77.2,1.0,,,,,,     587,12.9,        910,50.2,49.8,0.0,15.9,20.8,"      $4,858,795","  $56,367",     86
211,Pioneer Valley Performing Arts Charter Public (District),4790000,        68,92.6,4.4,0.0,2.9,0.0,0.0,66,56.0,84.8,0.0,46.4,30.4,23.2,30.4,3.6,10.7,        24,87.5,        44,95.5,        15,93.3,        52,90.4,,,,,,,22.0,77.3,44,88.6,12,,48.0,85.4,4.0,,7.0,,3.0,,     423,12.0,        408,67.2,32.8,0.0,21.3,18.1,,,
212,Pittsfield,2360000,       434,81.8,6.2,0.9,1.4,9.7,0.0,366,254.0,69.4,2.0,26.8,50.0,21.3,48.0,8.7,9.4,       229,77.7,       205,86.3,       268,74.3,       329,85.1,,,        31,74.2,        47,66.0,184.0,60.3,182,78.6,148,60.8,289.0,69.2,4.0,,24.0,41.7,32.0,84.4,"   2,383",15.2,"      5,602",48.8,51.2,4.8,21.7,45.7,"     $32,623,123","  $70,613",    462
213,Plymouth,2390000,       633,89.6,4.9,0.6,1.3,3.6,0.0,581,414.0,71.3,0.0,37.9,23.7,38.4,22.9,14.7,11.4,       315,87.9,       318,91.2,       248,81.9,       561,90.9,        15,93.3,        30,73.3,        12,83.3,287.0,61.7,294,80.6,136,55.9,521.0,73.9,14.0,,22.0,54.5,13.0,,"   4,743",17.4,"      7,711",48.2,51.8,1.0,19.3,22.2,"     $42,597,055","  $67,593",    630
214,Prospect Hill Academy Charter (District),4870000,        78,92.3,7.7,0.0,0.0,0.0,0.0,75,73.0,97.3,0.0,53.4,15.1,31.5,15.1,13.7,13.7,        37,83.8,        41,100.0,        59,89.8,        11,81.8,,,        15,93.3,        47,93.6,31.0,93.5,44,100.0,37,97.3,9.0,,4.0,,14.0,,47.0,97.9,     512,21.2,"      1,151",50.7,49.3,10.3,15.4,35.8,,,
215,Quabbin,7530000,       204,85.8,5.9,0.0,2.0,6.4,0.0,181,143.0,79.0,0.0,34.3,30.8,35.0,29.4,14.0,10.5,        89,79.8,       115,90.4,        68,72.1,       185,85.9,,,         9,88.9,,,73.0,65.8,108,88.0,36,66.7,164.0,78.7,2.0,,8.0,,2.0,,"   1,103",19.1,"      2,410",51.3,48.7,0.4,17.6,21.1,"     $12,187,104","  $75,136",    162
216,Quaboag Regional,7780000,        93,89.2,8.6,0.0,2.2,0.0,0.0,91,51.0,56.0,0.0,23.5,39.2,37.3,35.3,21.6,11.8,        59,86.4,        34,94.1,        49,85.7,        81,88.9,,,         7,85.7,,,54.0,50.0,37,64.9,32,37.5,77.0,61.0,1.0,,9.0,,2.0,,     611,18.8,"      1,440",49.0,51.0,4.0,16.1,34.3,"      $6,614,381","  $65,880",    100
217,Quincy,2430000,       716,90.4,4.6,0.3,0.8,3.9,0.0,671,518.0,77.2,0.0,32.4,26.1,41.5,25.9,9.1,27.2,       362,88.4,       354,92.4,       438,87.0,       366,88.0,       247,95.5,        46,91.3,        38,89.5,328.0,67.4,343,86.6,283,78.1,337.0,68.2,240.0,88.8,43.0,83.7,36.0,69.4,"   4,620",16.8,"      9,274",47.5,52.5,14.0,17.2,35.5,"     $55,590,293","  $80,894",    687
218,Ralph C Mahar,7550000,       186,79.0,9.1,0.5,3.2,8.1,0.0,176,123.0,69.9,0.0,17.1,51.2,31.7,51.2,12.2,14.6,        90,72.2,        96,85.4,        98,78.6,       156,77.6,,,        12,91.7,,,76.0,60.5,100,77.0,71,60.6,147.0,65.3,3.0,,12.0,,2.0,,     805,12.7,        688,47.7,52.3,1.9,16.9,36.6,"      $4,200,739","  $63,841",     66
219,Randolph,2440000,       206,81.1,10.7,2.4,1.9,3.9,0.0,174,131.0,75.3,0.0,26.7,40.5,32.8,39.7,10.7,19.8,       129,78.3,        77,85.7,       131,77.9,        25,76.0,        33,90.9,        24,75.0,       118,81.4,106.0,67.0,68,88.2,87,71.3,23.0,69.6,30.0,86.7,20.0,75.0,96.0,76.0,"   1,287",18.1,"      2,990",45.8,54.2,14.2,23.0,41.6,"     $18,202,089","  $72,547",    251
220,Reading,2460000,       322,97.5,1.2,0.0,0.3,0.9,0.0,322,285.0,88.5,0.0,47.0,14.0,38.9,13.7,4.9,14.7,       176,97.2,       146,97.9,        41,90.2,       288,98.3,        13,92.3,,,         8,100.0,177.0,88.1,145,89.0,23,60.9,291.0,88.3,12.0,,5.0,,8.0,,"   1,603",19.4,"      4,427",47.9,52.1,1.1,16.2,7.0,"     $22,911,148","  $72,366",    317
221,Revere,2480000,       494,78.7,7.5,3.0,1.0,9.5,0.2,408,279.0,68.4,0.7,36.9,36.6,25.8,36.6,5.4,17.6,       236,72.9,       258,84.1,       389,77.9,       176,83.0,        28,85.7,       246,76.8,        22,63.6,182.0,65.4,226,70.8,204,68.1,153.0,75.8,24.0,83.3,200.0,60.0,15.0,80.0,"   4,656",20.1,"      7,373",50.1,49.9,18.5,14.0,41.2,"     $42,618,388","  $80,579",    529
222,Rising Tide Charter Public (District),4830000,        41,100.0,0.0,0.0,0.0,0.0,0.0,41,33.0,80.5,0.0,39.4,18.2,42.4,15.2,21.2,9.1,        20,100.0,        21,100.0,        10,100.0,        38,100.0,,,,,,,20.0,65.0,21,95.2,10,,38.0,78.9,,,1.0,,1.0,,     234,18.1,        635,51.8,48.2,0.0,15.4,9.1,,,
223,Rockland,2510000,       144,88.2,8.3,0.0,0.7,2.8,0.0,130,90.0,69.2,0.0,34.4,25.6,40.0,25.6,17.8,14.4,        80,83.8,        64,93.8,        68,86.8,       129,87.6,,,         6,83.3,         6,100.0,70.0,57.1,60,83.3,38,50.0,115.0,70.4,,,6.0,,6.0,,     975,19.6,"      2,343",48.1,51.9,3.4,15.4,30.8,"     $11,011,066","  $74,500",    148
224,Rockport,2520000,        80,93.8,1.3,0.0,1.3,3.8,0.0,78,68.0,87.2,0.0,50.0,14.7,35.3,13.2,10.3,7.4,        40,92.5,        40,95.0,        28,82.1,        73,94.5,,,,,,,39.0,79.5,39,94.9,13,,72.0,87.5,2.0,,1.0,,1.0,,     633,16.7,        961,47.9,52.1,0.4,14.5,16.5,"      $6,626,052","  $76,249",     87
225,Sabis International Charter (District),4410000,       110,96.4,0.9,0.0,0.0,1.8,0.9,108,90.0,83.3,0.0,25.6,40.0,34.4,40.0,18.9,8.9,        50,96.0,        60,96.7,        64,96.9,        27,100.0,,,        34,94.1,        39,94.9,50.0,76.0,58,89.7,35,71.4,29.0,82.8,2.0,,32.0,78.1,37.0,86.5,     548,25.6,"      1,565",51.1,48.9,3.1,12.8,33.7,,,
226,Salem,2580000,       272,83.1,8.5,1.5,0.7,6.3,0.0,230,163.0,70.9,0.0,19.6,38.0,42.3,36.8,25.2,10.4,       131,84.7,       141,81.6,       190,77.9,       144,80.6,         6,100.0,        94,88.3,        15,60.0,112.0,57.1,118,83.9,109,58.7,120.0,75.0,6.0,,86.0,62.8,7.0,,"   1,987",15.5,"      3,934",48.0,52.0,14.4,21.7,45.4,"     $32,461,940","  $85,224",    381
227,Salem Academy Charter (District),4850000,        47,87.2,10.6,0.0,0.0,2.1,0.0,41,37.0,90.2,0.0,27.0,8.1,64.9,5.4,48.6,10.8,        20,90.0,        27,85.2,        36,86.1,        22,86.4,,,        17,82.4,,,18.0,88.9,23,91.3,17,94.1,19.0,84.2,3.0,,14.0,,5.0,,     227,18.0,        429,55.7,44.3,3.7,17.0,32.2,,,
228,Sandwich,2610000,       176,92.0,3.4,1.7,0.0,2.8,0.0,163,144.0,88.3,0.0,35.4,19.4,45.1,18.8,9.7,15.3,        97,90.7,        79,93.7,        28,92.9,       173,91.9,,,,,,,88.0,83.0,75,94.7,23,69.6,160.0,88.8,2.0,,1.0,,,,"   1,207",18.3,"      2,782",48.6,51.4,0.7,16.5,13.9,"     $16,765,211","  $77,617",    216
229,Saugus,2620000,       191,86.4,3.7,0.0,1.6,8.4,0.0,170,135.0,79.4,0.0,43.0,20.0,37.0,20.0,17.0,15.6,        74,79.7,       117,90.6,        71,76.1,       158,87.3,         6,83.3,        17,70.6,         8,100.0,63.0,69.8,107,85.0,39,79.5,141.0,80.9,5.0,,13.0,,9.0,,"   1,402",16.5,"      2,711",49.8,50.2,4.6,15.5,25.1,"     $15,448,490","  $73,250",    211
230,Scituate,2640000,       217,94.9,4.6,0.0,0.0,0.5,0.0,211,185.0,87.7,0.0,49.2,8.6,42.2,8.1,8.1,19.5,       102,94.1,       115,95.7,        35,97.1,       205,94.6,,,,,         6,100.0,100.0,82.0,111,92.8,28,82.1,198.0,87.4,2.0,,2.0,,7.0,,"   1,510",18.8,"      3,033",49.7,50.3,0.6,13.8,8.9,"     $20,402,010","  $83,137",    245
231,Seekonk,2650000,       156,91.7,5.8,0.0,1.9,0.6,0.0,146,116.0,79.5,0.0,40.5,21.6,37.9,13.8,10.3,12.9,        80,87.5,        76,96.1,        37,81.1,       143,90.9,         7,100.0,,,,,72.0,70.8,74,87.8,18,72.2,131.0,80.2,7.0,,5.0,,,,     785,17.4,"      1,987",50.9,49.1,2.4,16.6,14.9,"     $11,565,508","  $76,796",    151
232,Sharon,2660000,       332,94.6,3.0,0.0,1.2,1.2,0.0,318,292.0,91.8,0.0,54.1,6.5,39.4,6.2,2.7,15.4,       179,91.6,       153,98.0,        43,86.0,       233,94.0,        60,98.3,        11,90.9,        20,90.0,168.0,89.3,150,94.7,25,92.0,223.0,93.3,59.0,91.5,10.0,,18.0,88.9,"   1,578",18.3,"      3,540",48.0,52.0,3.1,12.9,6.6,"     $21,404,982","  $79,829",    268
233,Shawsheen Valley Regional Vocational Technical,8710000,       337,99.1,0.3,0.0,0.6,0.0,0.0,339,194.0,57.2,0.0,27.8,42.3,29.9,40.7,12.4,12.9,       198,98.5,       139,100.0,        87,98.9,       324,99.4,,,,,,,198.0,49.0,141,68.8,58,48.3,326.0,57.1,4.0,,6.0,,,,     574,16.7,"      1,334",42.6,57.4,0.0,23.3,12.2,"     $10,937,532","  $84,006",    130
234,Shrewsbury,2710000,       413,95.2,3.1,0.2,0.7,0.7,0.0,396,370.0,93.4,0.0,34.9,15.9,49.2,15.9,13.5,16.2,       181,94.5,       232,95.7,        91,90.1,       313,95.5,        62,96.8,        18,88.9,        12,83.3,174.0,96.0,222,91.4,46,93.5,301.0,93.4,60.0,96.7,17.0,94.1,10.0,,"   2,498",20.2,"      6,093",49.9,50.1,3.3,13.7,9.0,"     $30,911,009","  $77,043",    401
235,Silver Lake,7600000,       289,97.9,0.7,0.0,0.7,0.7,0.0,287,210.0,73.2,0.0,31.0,17.6,51.4,17.6,25.2,14.8,       147,96.6,       142,99.3,        68,94.1,       282,97.9,,,,,,,145.0,63.4,142,83.1,49,59.2,279.0,72.4,1.0,,1.0,,3.0,,     765,19.5,"      1,918",48.3,51.7,0.0,16.3,14.1,"     $10,985,096","  $82,471",    133
236,Sizer School: A North Central Charter Essential (District),4740000,        34,58.8,23.5,0.0,5.9,11.8,0.0,21,16.0,76.2,0.0,25.0,31.3,43.8,25.0,31.3,6.3,        17,52.9,        17,64.7,        16,43.8,        27,63.0,,,,,,,9.0,,12,,4,,18.0,77.8,,,2.0,,,,     395,12.1,        356,53.7,46.3,2.0,21.9,28.1,,,
237,Somerset Berkley Regional School District,7630000,       240,95.8,0.4,0.0,1.3,2.5,0.0,230,179.0,77.8,0.0,27.4,32.4,40.2,32.4,16.2,17.3,       134,96.3,       106,95.3,        56,91.1,       223,95.5,,,         7,100.0,,,129.0,70.5,101,87.1,40,75.0,213.0,77.0,3.0,,7.0,,5.0,,     586,13.9,        955,52.5,47.5,0.1,10.8,11.7,"      $5,320,794","  $62,968",     85
238,Somerville,2740000,       335,81.5,6.9,0.3,0.6,10.4,0.3,280,183.0,65.4,0.0,32.8,30.6,36.6,30.6,7.7,26.2,       177,79.7,       158,83.5,       267,81.3,        97,89.7,        48,89.6,       134,67.9,        51,94.1,146.0,56.2,134,75.4,143,67.8,89.0,64.0,43.0,90.7,95.0,53.7,49.0,69.4,"   1,830",16.4,"      4,997",46.4,53.6,19.5,21.4,40.2,"     $31,738,708","  $74,698",    425
239,South Hadley,2780000,       141,93.6,2.1,0.7,0.0,3.5,0.0,135,101.0,74.8,0.0,37.6,43.6,18.8,43.6,9.9,7.9,        65,90.8,        76,96.1,        50,84.0,       117,94.0,,,        15,100.0,,,60.0,73.3,75,76.0,30,56.7,113.0,76.1,1.0,,15.0,60.0,3.0,,     638,15.1,"      1,833",50.5,49.5,2.8,16.0,23.5,"      $9,840,316","  $69,396",    142
